wf_name,table_name,nz_database,dl_database,pii,target_schema,table name in delta lake
wf_Prism_Daily,SALES_TRANS_COMPONENT,EDW_PRD,dev_legacy,NO,,SALES_TRANS_COMPONENT
wf_Prism_Daily,SALES_TRANS_SKU,EDW_PRD,dev_legacy,NO,,SALES_TRANS_SKU
wf_Prism_Daily,SDS_ACCOUNT,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_ACCOUNT
wf_Prism_Daily,SDS_ACCOUNT_HIST,SDS_PRD,dev_legacy,NO,,SDS_ACCOUNT_HIST
wf_Prism_Daily,SDS_APPT_BLOCKED_EXCEPTION_HIST,SDS_PRD,dev_legacy,NO,,SDS_APPT_BLOCKED_EXCEPTION_HIST
wf_Prism_Daily,SDS_APPT_CHECKED_IN_EXCEPTION_HIST,SDS_PRD,dev_legacy,NO,,SDS_APPT_CHECKED_IN_EXCEPTION_HIST
wf_Prism_Daily,SDS_APPT_STATUS,SDS_PRD,dev_legacy,NO,,SDS_APPT_STATUS
wf_Prism_Daily,SDS_ASSET,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_ASSET
wf_Prism_Daily,SDS_ASSET_HIST,SDS_PRD,dev_legacy,NO,,SDS_ASSET_HIST
wf_Prism_Daily,SDS_ASSIGNED_RESOURCE,SDS_PRD,dev_legacy,NO,,SDS_ASSIGNED_RESOURCE
wf_Prism_Daily,SDS_BUNDLE,SDS_PRD,dev_legacy,NO,,SDS_BUNDLE
wf_Prism_Daily,SDS_BUNDLE_ADD_ON,SDS_PRD,dev_legacy,NO,,SDS_BUNDLE_ADD_ON
wf_Prism_Daily,SDS_BUNDLE_CONFIG,SDS_PRD,dev_legacy,NO,,SDS_BUNDLE_CONFIG
wf_Prism_Daily,SDS_CANCEL_REASON,SDS_PRD,dev_legacy,NO,,SDS_CANCEL_REASON
wf_Prism_Daily,SDS_CLASS_SESSION,SDS_PRD,dev_legacy,NO,,SDS_CLASS_SESSION
wf_Prism_Daily,SDS_CUSTOMER_PET,SDS_PRD,dev_legacy,NO,,SDS_CUSTOMER_PET
wf_Prism_Daily,SDS_CUSTOMER_RPT,EDW_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_CUSTOMER_RPT
wf_Prism_Daily,SDS_DAILY_ACTIVITY,SDS_PRD,dev_legacy,NO,,SDS_DAILY_ACTIVITY
