wf_name,table_name,nz_database,dl_database,pii,target_schema,table name in delta lake
wf_Pet_Training,PET_TRAINING_RESERVATION,EDW_PRD,dev_cust_sensitive,YES,legacy,legacy_PET_TRAINING_RESERVATION
wf_Pet_Training,TRAINING_CATEGORY_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_CATEGORY_TYPE
wf_Pet_Training,TRAINING_CATEGORY_TYPE_FOCUS_AREA,SDS_PRD,dev_legacy,NO,,TRAINING_CATEGORY_TYPE_FOCUS_AREA
wf_Pet_Training,TRAINING_CLASS_PROMO,SDS_PRD,dev_legacy,NO,,TRAINING_CLASS_PROMO
wf_Pet_Training,TRAINING_CLASS_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_CLASS_TYPE
wf_Pet_Training,TRAINING_CLASS_TYPE_DETAIL,SDS_PRD,dev_legacy,NO,,TRAINING_CLASS_TYPE_DETAIL
wf_Pet_Training,TRAINING_CUSTOMER,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_TRAINING_CUSTOMER
wf_Pet_Training,TRAINING_FOCUS_AREA,SDS_PRD,dev_legacy,NO,,TRAINING_FOCUS_AREA
wf_Pet_Training,TRAINING_INVOICE,SDS_PRD,dev_legacy,NO,,TRAINING_INVOICE
wf_Pet_Training,TRAINING_PACKAGE,SDS_PRD,dev_legacy,NO,,TRAINING_PACKAGE
wf_Pet_Training,TRAINING_PACKAGE_OPTION,SDS_PRD,dev_legacy,NO,,TRAINING_PACKAGE_OPTION
wf_Pet_Training,TRAINING_PACKAGE_OPTION_CLASS_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_PACKAGE_OPTION_CLASS_TYPE
wf_Pet_Training,TRAINING_PACKAGE_OPTION_DETAIL,SDS_PRD,dev_legacy,NO,,TRAINING_PACKAGE_OPTION_DETAIL
wf_Pet_Training,TRAINING_PACKAGE_PROMO,SDS_PRD,dev_legacy,NO,,TRAINING_PACKAGE_PROMO
wf_Pet_Training,TRAINING_PET,SDS_PRD,dev_legacy,NO,,TRAINING_PET
wf_Pet_Training,TRAINING_PET_FOCUS_AREA,SDS_PRD,dev_legacy,NO,,TRAINING_PET_FOCUS_AREA
wf_Pet_Training,TRAINING_RESERVATION,SDS_PRD,dev_legacy,NO,,TRAINING_RESERVATION
wf_Pet_Training,TRAINING_RESERVATION_HISTORY,SDS_PRD,dev_legacy,NO,,TRAINING_RESERVATION_HISTORY
wf_Pet_Training,TRAINING_SCHED_CHANGE_CAPTURE,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_CHANGE_CAPTURE
wf_Pet_Training,TRAINING_SCHED_CHANGE_STATE,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_CHANGE_STATE
wf_Pet_Training,TRAINING_SCHED_CHANGE_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_CHANGE_TYPE
wf_Pet_Training,TRAINING_SCHED_CLASS_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_CLASS_TYPE
wf_Pet_Training,TRAINING_SCHED_ENTITY_TYPE,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_ENTITY_TYPE
wf_Pet_Training,TRAINING_SCHED_STORE_CLASS,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_STORE_CLASS
wf_Pet_Training,TRAINING_SCHED_STORE_CLASS_DETAIL,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_STORE_CLASS_DETAIL
wf_Pet_Training,TRAINING_SCHED_TRAINER,SDS_PRD,dev_legacy,NO,,TRAINING_SCHED_TRAINER
wf_Pet_Training,TRAINING_STORE_BLACKOUTS,SDS_PRD,dev_legacy,NO,,TRAINING_STORE_BLACKOUTS
wf_Pet_Training,TRAINING_STORE_CLASS,SDS_PRD,dev_legacy,NO,,TRAINING_STORE_CLASS
wf_Pet_Training,TRAINING_STORE_CLASS_DETAIL,SDS_PRD,dev_legacy,NO,,TRAINING_STORE_CLASS_DETAIL
wf_Pet_Training,TRAINING_TRAINER,SDS_PRD,dev_legacy,NO,,TRAINING_TRAINER
wf_Pet_Training,TRAINING_UNIT_OF_MEASURE,SDS_PRD,dev_legacy,NO,,TRAINING_UNIT_OF_MEASURE
