env,pii,schema,bucket
dev,no,refine,gs://petm-bdpl-dev-refine-p1-gcs-gbl/
dev,no,legacy,gs://petm-bdpl-dev-nzlegacy-p1-gcs-gbl/
dev,no,raw,gs://petm-bdpl-dev-raw-p1-gcs-gbl/
dev,cust_sensitive,refine,gs://petm-bdpl-dev-cust-sensitive-refine-p1-gcs-gbl/
dev,cust_sensitive,legacy,gs://petm-bdpl-dev-cust-sensitive-nzlegacy-p1-gcs-gbl/
dev,cust_sensitive,raw,gs://petm-bdpl-dev-cust-sensitive-raw-p1-gcs-gbl/
dev,empl_sensitive,refine,gs://petm-bdpl-dev-empl-sensitive-refine-p1-gcs-gbl/
dev,empl_sensitive,legacy,gs://petm-bdpl-dev-empl-sensitive-nzlegacy-p1-gcs-gbl/
dev,empl_sensitive,raw,gs://petm-bdpl-dev-empl-sensitive-raw-p1-gcs-gbl/
dev,empl_protected,refine,
dev,empl_protected,legacy,gs://petm-bdpl-dev-empl-protected-nzlegacy-p1-gcs-gbl/
dev,empl_protected,raw,gs://petm-bdpl-dev-empl-protected-raw-p1-gcs-gbl/
qa,no,refine,gs://petm-bdpl-qa-refine-p1-gcs-gbl/
qa,no,legacy,gs://petm-bdpl-qa-nzlegacy-p1-gcs-gbl/
qa,no,raw,gs://petm-bdpl-qa-raw-p1-gcs-gbl/
qa,cust_sensitive,refine,gs://petm-bdpl-qa-cust-sensitive-refine-p1-gcs-gbl/
qa,cust_sensitive,legacy,gs://petm-bdpl-qa-cust-sensitive-nzlegacy-p1-gcs-gbl/
qa,cust_sensitive,raw,gs://petm-bdpl-qa-cust-sensitive-raw-p1-gcs-gbl/
qa,empl_sensitive,refine,gs://petm-bdpl-qa-empl-sensitive-refine-p1-gcs-gbl/
qa,empl_sensitive,legacy,gs://petm-bdpl-qa-empl-sensitive-nzlegacy-p1-gcs-gbl/
qa,empl_sensitive,raw,gs://petm-bdpl-qa-empl-sensitive-raw-p1-gcs-gbl/
qa,empl_protected,refine,
qa,empl_protected,legacy,gs://petm-bdpl-qa-empl-protected-nzlegacy-p1-gcs-gbl/
qa,empl_protected,raw,gs://petm-bdpl-qa-empl-protected-raw-p1-gcs-gbl/
prod,no,refine,gs://petm-bdpl-prod-refine-p1-gcs-gbl/
prod,no,legacy,gs://petm-bdpl-prod-nzlegacy-p1-gcs-gbl/
prod,no,raw,gs://petm-bdpl-prod-raw-p1-gcs-gbl/
prod,cust_sensitive,refine,gs://petm-bdpl-prod-cust-sensitive-refine-p1-gcs-gbl/
prod,cust_sensitive,legacy,gs://petm-bdpl-prod-cust-sensitive-nzlegacy-p1-gcs-gbl/
prod,cust_sensitive,raw,gs://petm-bdpl-prod-cust-sensitive-raw-p1-gcs-gbl/
prod,empl_sensitive,refine,gs://petm-bdpl-prod-empl-sensitive-refine-p1-gcs-gbl/
prod,empl_sensitive,legacy,gs://petm-bdpl-prod-empl-sensitive-nzlegacy-p1-gcs-gbl/
prod,empl_sensitive,raw,gs://petm-bdpl-prod-empl-sensitive-raw-p1-gcs-gbl/
prod,empl_protected,refine,
prod,empl_protected,legacy,gs://petm-bdpl-prod-empl-protected-nzlegacy-p1-gcs-gbl/
prod,empl_protected,raw,gs://petm-bdpl-prod-empl-protected-raw-p1-gcs-gbl/
