name,source_schema,source_table,snapshot_target_schema,snapshot_target_table,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
sds_account_history_pre,SDS_STG_PRD,sds_account_history_pre,nzmigration,sds_account_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_account_history_pre,ID,,FALSE
sds_account_pre,SDS_STG_PRD,sds_account_pre,data_harness_cust_sensitive,sds_account_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',data_harness_cust_sensitive,sds_account_pre,ID,,FALSE
sds_asset_history_pre,SDS_STG_PRD,sds_asset_history_pre,nzmigration,sds_asset_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_asset_history_pre,ID,,FALSE
sds_asset_pre,SDS_STG_PRD,sds_asset_pre,data_harness_cust_sensitive,sds_asset_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',data_harness_cust_sensitive,sds_asset_pre,ID,,FALSE
sds_assigned_resource_pre,SDS_STG_PRD,sds_assigned_resource_pre,nzmigration,sds_assigned_resource_pre,(Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30'),nzmigration,sds_assigned_resource_pre,ID,,FALSE
sds_fsl_user_territory_c_pre,SDS_STG_PRD,sds_fsl_user_territory_c_pre,nzmigration,sds_fsl_user_territory_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_fsl_user_territory_c_pre,ID,,FALSE
sds_operating_hours_pre,SDS_STG_PRD,sds_operating_hours_pre,nzmigration,sds_operating_hours_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_operating_hours_pre,ID,,FALSE
sds_order_history_pre,SDS_STG_PRD,sds_order_history_pre,nzmigration,sds_order_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_order_history_pre,ID,,FALSE
sds_order_item_history_pre,SDS_STG_PRD,sds_order_item_history_pre,nzmigration,sds_order_item_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_order_item_history_pre,ID,,FALSE
sds_order_item_pre,SDS_STG_PRD,sds_order_item_pre,data_harness_cust_sensitive,sds_order_item_pre,Last_Modified_Date >='2023-08-30',data_harness_cust_sensitive,sds_order_item_pre,ID,,FALSE
sds_order_pre,SDS_STG_PRD,sds_order_pre,nzmigration,sds_order_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_order_pre,ID,,FALSE
sds_outgoing_message_c_pre,SDS_STG_PRD,sds_outgoing_message_c_pre,nzmigration,sds_outgoing_message_c_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_outgoing_message_c_pre,ID,,FALSE
sds_picklist_value_info_pre,SDS_STG_PRD,sds_picklist_value_info_pre,nzmigration,sds_picklist_value_info_pre,"EntityParticleId IN ('Order.Status', 'ServiceAppointment.Status','Product2.Family','WorkOrder.Status')",nzmigration,sds_picklist_value_info_pre,ID,,FALSE
sds_pricebook2_entry_pre,SDS_STG_PRD,sds_pricebook2_entry_pre,nzmigration,sds_pricebook2_entry_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_pricebook2_entry_pre,ID,,FALSE
sds_pricebook2_history_pre,SDS_STG_PRD,sds_pricebook2_history_pre,nzmigration,sds_pricebook2_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_pricebook2_history_pre,ID,,FALSE
sds_Pricebook2_PRE,SDS_STG_PRD,sds_Pricebook2_PRE,nzmigration,sds_Pricebook2_PRE,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_Pricebook2_PRE,ID,,FALSE
sds_product2_history_pre,SDS_STG_PRD,sds_product2_history_pre,nzmigration,sds_product2_history_pre,Created_Date >= '2023-08-30',nzmigration,sds_product2_history_pre,ID,,FALSE
sds_product2_pre,SDS_STG_PRD,sds_product2_pre,nzmigration,sds_product2_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_product2_pre,ID,,FALSE
sds_profile_pre,SDS_STG_PRD,sds_profile_pre,nzmigration,sds_profile_pre,Created_Date >= '2023-08-30' OR Last_Modified_Date >= '2023-08-30',nzmigration,sds_profile_pre,ID,,FALSE
