wf_name,table_name,nz_database,schema,pii,target_schema
bs_Dimension,SHIPPER_MAST_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SHIPPER_STPO_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SITE_PROFILE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SKU_PROFILE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SKU_HAZMAT_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SHIPPER_STKO_PRE,EDW_PRD,raw,no,raw
bs_Dimension,ZTB_SEL_DISCO_PRE,EDW_PRD,raw,no,raw
bs_Dimension,GL_MVKE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,GL_C003_PRE,EDW_PRD,raw,no,raw
bs_Dimension,GL_MARA_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_T001W_SITE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,LFA1_PRE,EDW_PRD,raw,no,raw
bs_Dimension,LFM1_PRE,EDW_PRD,raw,no,raw
bs_Dimension,VENDOR_PROFILE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ATT_TYPE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ATTRIBUTE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ATT_CODE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ATT_VALUE_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ZTH_WEB_RECORD_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_ZTH_WEB_WIP_PRE,EDW_PRD,raw,no,raw
bs_Dimension,SAP_T6WP1T_PRE,EDW_PRD,raw,no,raw
bs_Dimension,ARTMAS_PRE,EDW_PRD,raw,no,raw
bs_Dimension,ARTICLE_CATEGORY,EDW_PRD,legacy,no,legacy
bs_Dimension,BRAND,EDW_PRD,legacy,no,legacy
bs_Dimension,BRAND_CLASSIFICATION,EDW_PRD,legacy,no,legacy
bs_Dimension,BUYER,EDW_PRD,legacy,no,legacy
bs_Dimension,COMPANY,EDW_PRD,legacy,no,legacy
bs_Dimension,COUNTRY,EDW_PRD,legacy,no,legacy
bs_Dimension,CURRENCY,EDW_PRD,legacy,no,legacy
bs_Dimension,CURRENCY_DAY,EDW_PRD,legacy,no,legacy
bs_Dimension,DAYS,EDW_PRD,legacy,no,legacy
bs_Dimension,DISTRICT,EDW_PRD,legacy,no,legacy
bs_Dimension,DM_DEPT_SEGMENTS,EDW_PRD,legacy,no,legacy
bs_Dimension,DM_DEPT_SEGMENTS_USER,EDW_PRD,legacy,no,legacy
bs_Dimension,DM_PG_MGR_DVL,EDW_PRD,legacy,no,legacy
bs_Dimension,DM_PG_STORE,EDW_PRD,legacy,no,legacy
bs_Dimension,DM_PG_VENDOR,EDW_PRD,legacy,no,legacy
bs_Dimension,EMPLOYEE_PROFILE,EDW_PRD,legacy,empl_sensitive,empl_sensitive
bs_Dimension,EQUINE_MERCH,EDW_PRD,legacy,no,legacy
bs_Dimension,EQUINE_SITE,EDW_PRD,legacy,no,legacy
bs_Dimension,GL_CATEGORY,EDW_PRD,legacy,no,legacy
bs_Dimension,HTS,EDW_PRD,legacy,no,legacy
bs_Dimension,IMPORT,EDW_PRD,legacy,no,legacy
bs_Dimension,LOCATION,EDW_PRD,legacy,no,legacy
bs_Dimension,LOCATION_AREA,EDW_PRD,legacy,no,legacy
bs_Dimension,LOCATION_OLD,EDW_PRD,legacy,no,legacy
bs_Dimension,LOCATION_TYPE,EDW_PRD,legacy,no,legacy
bs_Dimension,LOYALTY_PGM_STATUS,EDW_PRD,legacy,no,legacy
bs_Dimension,LOYALTY_PGM_TYPE,EDW_PRD,legacy,no,legacy
bs_Dimension,MERCHCAT_ORG,EDW_PRD,legacy,no,legacy
bs_Dimension,MERCHDEPT_ORG,EDW_PRD,legacy,no,legacy
bs_Dimension,MOVE_REASON,EDW_PRD,legacy,no,legacy
