database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
empl_protected,nz_empl_empl_loc_wk,earnings_amt,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_empl_empl_loc_wk,earnings_loc_amt,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_birth_dt,DateType,null,Date Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,gender_cd,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_addr_1,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_addr_2,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_city,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_state,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_province,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_zipcode,StringType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_email_addr,StringType,null,Email Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_home_phone,StringType,null,Phone Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_std_bonus_pct,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_ovr_bonus_pct,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,empl_rating,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,comp_rate_amt,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,annual_rate_loc_amt,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_protected,nz_employee_profile,hourly_rate_loc_amt,DecimalType,null,Star Mask,2023-08-29T12:21:11.544+0000,2023-08-29T12:21:11.544+0000,rarroyo,rarroyo
empl_sensitive,legacy_gs_travel,birth_dt,StringType,null,Date Mask,2023-08-23T14:16:03.455+0000,2023-08-23T14:16:03.455+0000,cdhapudkar,cdhapudkar
empl_sensitive,legacy_gs_travel,assoc_contact_phn,StringType,null,Phone Mask,2023-08-23T14:16:03.455+0000,2023-08-23T14:16:03.455+0000,cdhapudkar,cdhapudkar
cust_sensitive,raw_src_services_reservation_pre,cust_first_name,StringType,null,Star Mask,2023-08-23T10:07:17.747+0000,2023-08-23T10:07:17.747+0000,cdhapudkar,cdhapudkar
cust_sensitive,raw_src_services_reservation_pre,cust_last_name,StringType,null,Star Mask,2023-08-23T10:07:17.747+0000,2023-08-23T10:07:17.747+0000,cdhapudkar,cdhapudkar
cust_sensitive,raw_src_services_reservation_pre,cust_email_address,StringType,null,Email Mask,2023-08-23T10:07:17.747+0000,2023-08-23T10:07:17.747+0000,cdhapudkar,cdhapudkar
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_CITY,StringType,,Star Mask,2023-06-21T18:53:11.921+0000,2023-06-21T18:53:11.921+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_STATE_PROV_CD,StringType,,Star Mask,2023-06-21T18:53:13.905+0000,2023-06-21T18:53:13.905+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_tender,CUST_LAST_NAME,StringType,,Star Mask,2023-06-21T18:52:47.893+0000,2023-06-21T18:52:47.893+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_ZIP_POSTAL_CD,StringType,,Star Mask,2023-06-21T18:53:15.869+0000,2023-06-21T18:53:15.869+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_COUNTRY_CD,StringType,,Star Mask,2023-06-21T18:53:17.801+0000,2023-06-21T18:53:17.801+0000,vravi,vravi
cust_sensitive,refine_ods_sls_cust,cust_id_value,StringType,null,Star Mask,2023-07-18T09:51:09.341+0000,2023-07-18T09:51:09.341+0000,rarroyo,rarroyo
cust_sensitive,refine_ods_sls_cust,cust_id_value_addl,StringType,null,Star Mask,2023-07-18T09:51:09.341+0000,2023-07-18T09:51:09.341+0000,rarroyo,rarroyo
cust_sensitive,refine_ods_cust_id_lkup,cust_id_value,StringType,null,Star Mask,2023-07-18T09:51:09.341+0000,2023-07-18T09:51:09.341+0000,rarroyo,rarroyo
cust_sensitive,refine_tp_customer,cust_first_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,cust_mid_initial,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,cust_last_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,agent1_phone,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,agent2_phone,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,cust_address,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,cust_address2,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,cust_email_address,StringType,null,Email Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,agent1,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer,agent2,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_customer_phone,cust_phone_nbr,IntegerType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_event,quick_service_phone,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_rpt,cust_first_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_rpt,cust_last_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_rpt,svcs_customer_first_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_rpt,svcs_customer_last_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_rpt,pet_birth_dt,DateType,null,Date Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,cust_first_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,cust_last_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,svcs_customer_first_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,svcs_customer_last_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,pet_birth_dt,DateType,null,Date Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,pet_name,DateType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_invoice_service_rpt,svcs_pet_name,DateType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_pet,pet_birth_dt,TimestampType,null,Date Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,refine_tp_pet,pet_name,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,firstname,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,midinitialname,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,lastname,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,address,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,address2,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,email,StringType,null,Email Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,phone1,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,phone2,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,phone3,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,phone4,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,agent1,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,agent1_phone,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,agent2,StringType,null,Star Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,raw_tp_owner_pre,agent2_phone,StringType,null,Phone Mask,2023-06-05T18:00:38.209+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_pet_training_reservation,pet_name,StringType,null,Star Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_training_customer,first_name,StringType,null,Star Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_training_customer,last_name,StringType,null,Star Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_training_customer,email_addr,StringType,null,Email Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_training_customer,primary_phone_nbr,StringType,null,Phone Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_training_customer,alternate_phone_nbr,StringType,null,Phone Mask,2023-06-12T10:36:25.146+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,cust_first_name,StringType,null,Star Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,cust_last_name,StringType,null,Star Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,primary_phone,StringType,null,Phone Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,secondary_phone,StringType,null,Phone Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,email,StringType,null,Email Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,addr1,StringType,null,Star Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,addr2,StringType,null,Star Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_requests,notes,StringType,null,Star Mask,2023-06-19T17:25:44.078+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_e_res_pets,pet_name,StringType,null,Star Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,first_name,StringType,null,Star Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,middle_name,StringType,null,Star Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,last_name,StringType,null,Star Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,email_addr,StringType,null,Email Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,phone_nbr,StringType,null,Phone Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
cust_sensitive,legacy_sds_customer_rpt,addr1,StringType,null,Star Mask,2023-06-20T10:48:53.542+0000,2023-07-11T14:27:43.312+0000,rarroyo,cdhapudkar
