table_name,key,db
ACTIVE_STORE,STORE_NBR,cidb_prd
ACX_ADDRESS,ADDR_GUID,cidb_prd
ACX_CONSUMER_LINK_CONSOLIDATED_HIST,ACX_MAINTENANCE_DT|ACX_RETIRED_CONSUMER_LINK_ID,cidb_prd
ACX_CONSUMER_LINK_UPDATE_HIST,UPDATE_PROCESS_DT|CUSTOMER_EID,cidb_prd
AIMIA_MEMBER,AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_ACCOUNT,AIMIA_MEMBER_ID|AIMIA_MEMBER_ACCOUNT_TYPE,cidb_prd
AIMIA_MEMBER_ACCOUNT_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID|AIMIA_MEMBER_ACCOUNT_TYPE,cidb_prd
AIMIA_MEMBER_ADDRESS,AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_ADDRESS_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_EMAIL,AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_EMAIL_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_PHONE,AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_PHONE_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_POINTS,AIMIA_MEMBER_ID,cidb_prd
AIMIA_MEMBER_POINTS_HIST,SRC_FILE_TSTMP|SRC_FILE_NBR|AIMIA_MEMBER_ID,cidb_prd
AIMIA_REWARD_CANCELLED,AIMIA_REWARD_ID,cidb_prd
AIMIA_REWARD_ISSUED,AIMIA_REWARD_ID,cidb_prd
AIMIA_TXN,AIMIA_TXN_ID,cidb_prd
AIMIA_TXN_CANCELLED,AIMIA_TXN_ID,cidb_prd
AIMIA_TXN_EXPIRE_POINTS,AIMIA_MEMBER_EXPIRE_ID,cidb_prd
AIMIA_TXN_SALES_XREF,AIMIA_TXN_ID,cidb_prd
AIMIA_TXN_TYPE,AIMIA_TXN_TYPE_ID,cidb_prd
BANFIELD_PROFILE,HOUSEHOLD_SRC_CD|HOUSEHOLD_SRC_ID|SRC_LOAD_DT,cidb_prd
CLV_MODEL,CLV_MODEL_ID|CLV_COHORT_ID,cidb_prd
CONTACCIDB_PRD_CUSTOMER,CUSTOMER_SRC_CD|CUSTOMER_SRC_ID|CONTACcidb_prd_TYPE,cidb_prd
CONTACCIDB_PRD_CUSTOMER_HIST,ARCHIVE_DT|CUSTOMER_SRC_CD|CUSTOMER_SRC_ID|CONTACcidb_prd_TYPE,cidb_prd
