wf,folder
wf_ASN_Reject_Reason,BA_Mvmt_Purch
wf_Traffic_Counters_Early_Load,BA_Store_Ops
wf_Traffic_Counters_Delayed_Load,BA_Store_Ops
wf_USR_Store_Attributes,BA_Dimension
wf_USR_Store_Tier,BA_StoreOps
wf_UDH_SKU_STYLE,BA_Dimension
wf_USR_Job_Group,BA_HCM
wf_USR_Assessment_Exceptions,BA_Education
wf_m_map_VC_ASN_SUCCESSFUL_DAY_INS_UPD,BA_Mvmt_Purch
wf_STORE_DAY_SALES_CAPTAIN_Regular_Stores_nz,BA_Store_Ops
wf_STORE_DAY_SALES_CAPTAIN_Non_Regular_Stores_nz,BA_Store_Ops
wf_Sales_Trans_Sku_UPD_ORDER_CREATE_CHNL,BA_Mobile
