wf_name,table_name,nz_database,schema,pii,target_schema
wf_Plan_Act_Turnover,DAYS,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,WEEKS,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,EMPL_TERM_DAYS_WORKED,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,USR_90DAY_TO_PLAN,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,USR_PETSAFETY_TO_PLAN,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,IC_WC_PLAN,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,PLAN_ACT_TO_DATE_PRE,distinct_ddl,raw,no,raw
wf_Plan_Act_Turnover,PLAN_ACT_TURNOVER,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,SITE_PROFILE,distinct_ddl,legacy,no,legacy
wf_Plan_Act_Turnover,EMPLOYEE_PROFILE_WK,distinct_ddl,legacy,empl_protected,empl_protected
