name,source_schema,source_table,snapshot_target_schema,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
CURRENCY_DAY,edw_prd.admin,CURRENCY_DAY,nzmigration,1=1,qa_legacy,CURRENCY_DAY,DAY_DT,,
DAYS,edw_prd.admin,DAYS,nzmigration,1=1,qa_legacy,DAYS,DAY_DT,,
EELW_SPLIT_B_REC_PRE,,EELW_SPLIT_B_REC_PRE,nzmigration,1=1,qa_raw,EELW_SPLIT_B_REC_PRE,,,
EMPL_ACCOMPLISHMENT,edw_prd.admin,EMPL_ACCOMPLISHMENT,nzmigration,1=1,qa_legacy,EMPL_ACCOMPLISHMENT,EMPLOYEE_ID|PS_ACCOMP_TYPE_CD|EMPL_ACCOMP_SEQ_NBR,,
EMPL_ACTION_HIST,edw_prd.admin,EMPL_ACTION_HIST,nzmigration,1=1,qa_legacy,EMPL_ACTION_HIST,EMPLOYEE_ID|EMPL_ACTION_EFF_DT|EMPL_ACTION_SEQNO,,
EMPL_DATE_HIST,edw_prd.admin,EMPL_DATE_HIST,nzmigration,1=1,qa_legacy,EMPL_DATE_HIST,EMPLOYEE_ID|EMPL_DATE_EFF_DT|PS_DATE_TYPE_CD,,
EMPL_DATE_HIST_PRE,edw_prd.admin,EMPL_DATE_HIST_PRE,nzmigration,1=1,qa_raw,EMPL_DATE_HIST_PRE,EMPLOYEE_ID|EMPL_DATE_EFF_DT|PS_DATE_TYPE_CD,,
EMPL_DEPT_HIST,edw_prd.admin,EMPL_DEPT_HIST,nzmigration,1=1,qa_legacy,EMPL_DEPT_HIST,EMPLOYEE_ID|EMPL_DEPT_EFF_DT,,
EMPL_EDUCATION,edw_prd.admin,EMPL_EDUCATION,nzmigration,1=1,qa_legacy,EMPL_EDUCATION,EMPLOYEE_ID|PS_EDU_TYPE_CD|PS_EDU_FIELD_CD|PS_EDU_DEGREE_LVL|EMPL_EDU_SEQ_NBR,,
EMPL_EMPL_LOC_WK,edw_prd.admin,EMPL_EMPL_LOC_WK,data_harness_empl_protected,1=1,qa_empl_protected,legacy_EMPL_EMPL_LOC_WK,WEEK_DT|LOCATION_ID|EMPLOYEE_ID|EARN_ID|STORE_DEPT_NBR,,
