name,source_schema,source_table,snapshot_target_schema,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
WFA_TSCHD,edw_prd.admin,WFA_TSCHD,data_harness_empl_protected,1=1,qa_empl_protected,legacy_WFA_TSCHD,DAY_DT|TSCHD_ID,,
WFA_TDTL,edw_prd.admin,WFA_TDTL,data_harness_empl_protected,1=1,qa_empl_protected,legacy_WFA_TDTL,DAY_DT|TDTL_ID,,
WFA_LBRACCT,edw_prd.admin,WFA_LBRACCT,nzmigration,1=1,qa_legacy,WFA_LBRACCT,LBRACCT_ID,,
WFA_ORG,edw_prd.admin,WFA_ORG,nzmigration,1=1,qa_legacy,WFA_ORG,ORG_ID,,
WFA_DEPARTMENT,edw_prd.admin,WFA_DEPARTMENT,nzmigration,1=1,qa_legacy,WFA_DEPARTMENT,WFA_DEPT_ID,,
WFA_FCST_SLS_DEPT,edw_prd.admin,WFA_FCST_SLS_DEPT,nzmigration,1=1,qa_legacy,WFA_FCST_SLS_DEPT,DAY_DT|ORG_ID,,
WFA_TASK,edw_prd.admin,WFA_TASK,nzmigration,1=1,qa_legacy,WFA_TASK,WFA_TASK_ID,,
WFA_EMP,edw_prd.admin,WFA_EMP,nzmigration,1=1,qa_legacy,WFA_EMP,EMP_ID,,
WFA_PAYCD,edw_prd.admin,WFA_PAYCD,nzmigration,1=1,qa_legacy,WFA_PAYCD,PAYCD_ID,,
WFA_FCST_SLS_TASK,,WFA_FCST_SLS_TASK,nzmigration,1=1,qa_legacy,WFA_FCST_SLS_TASK,,,
WFA_BUSINESS_AREA,edw_prd.admin,WFA_BUSINESS_AREA,nzmigration,1=1,qa_legacy,WFA_BUSINESS_AREA,WFA_BUSN_AREA_ID,,
WFA_TSCHD_PREV_PRE,edw_prd.admin,WFA_TSCHD_PREV_PRE,nzmigration,1=1,qa_raw,WFA_TSCHD_PREV_PRE,TSCHD_ID|TSCHD_DAT,,
WFA_TSCHD_PRE,edw_prd.admin,WFA_TSCHD_PRE,nzmigration,1=1,qa_raw,WFA_TSCHD_PRE,TSCHD_ID|TSCHD_DAT,,
WFA_TDTL_DIFF_PRE,edw_prd.admin,WFA_TDTL_DIFF_PRE,nzmigration,1=1,qa_raw,WFA_TDTL_DIFF_PRE,TDTL_SKEY,,
WFA_TDTL_PRE,edw_prd.admin,WFA_TDTL_PRE,nzmigration,1=1,qa_raw,WFA_TDTL_PRE,TDTL_SKEY,,
WFA_TSCHD_DIFF_PRE,edw_prd.admin,WFA_TSCHD_DIFF_PRE,nzmigration,1=1,qa_raw,WFA_TSCHD_DIFF_PRE,TSCHD_ID|TSCHD_DAT,,
WFA_PAYCD_PRE,edw_prd.admin,WFA_PAYCD_PRE,nzmigration,1=1,qa_raw,WFA_PAYCD_PRE,PAYCD_ID,,
WFA_ORG_FACT_PRE,edw_prd.admin,WFA_ORG_FACT_PRE,nzmigration,1=1,qa_raw,WFA_ORG_FACT_PRE,ORG_ID,,
WFA_EMP_PRE,edw_prd.admin,WFA_EMP_PRE,nzmigration,1=1,qa_raw,WFA_EMP_PRE,EMP_ID,,
WFA_FCST_SLS_PRE,edw_prd.admin,WFA_FCST_SLS_PRE,nzmigration,1=1,qa_raw,WFA_FCST_SLS_PRE,FCST_SLS_SKEY,,
WFA_LBRACCT_PRE,edw_prd.admin,WFA_LBRACCT_PRE,nzmigration,1=1,qa_raw,WFA_LBRACCT_PRE,LBRACCT_ID,,
WFA_ORG_PRE,edw_prd.admin,WFA_ORG_PRE,nzmigration,1=1,qa_raw,WFA_ORG_PRE,ORG_ID,,
WFA_TDTL_PREV_PRE,edw_prd.admin,WFA_TDTL_PREV_PRE,nzmigration,1=1,qa_raw,WFA_TDTL_PREV_PRE,TDTL_SKEY,,
DAYS,edw_prd.admin,DAYS,nzmigration,1=1,qa_legacy,DAYS,DAY_DT,,
EMPLOYEE_PROFILE,edw_prd.admin,EMPLOYEE_PROFILE,data_harness_empl_protected,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE,EMPLOYEE_ID,,
SITE_PROFILE,edw_prd.admin,SITE_PROFILE,nzmigration,1=1,qa_legacy,SITE_PROFILE,LOCATION_ID,,
